date,title,label,short_opening,url
2025-02-28,"Trump, Vance and Zelenskyy spar over Russian war in tense exchange: 'Very disrespectful'",Media Representation,"President Donald Trump, Vice President JD Vance and Ukraine President Volodymyr Zelenskyy sparred during a meeting at the White House to end the Russia-Ukraine War.",https://www.foxnews.com/politics/trump-vance-zelenskyy-spar-over-russian-war-tense-exchange-very-disrespectful
2 days ago,Zelenskyy moves to 'clean up' Ukraine's energy sector as corruption scandal rocks leadership,Domestic Governance,Ukrainian President Volodymyr Zelenskyy announced major energy sector cleanup Sunday as corruption scandal rocks the nation's nuclear industry.,https://www.foxnews.com/politics/zelenskyy-moves-clean-up-ukraines-energy-sector-corruption-scandal-rocks-leadership
2025-02-28,Tulsi Gabbard thanks Trump for 'unwavering leadership' in Oval Office clash with Zelenskyy,Media Representation,Tulsi Gabbard commended President Trump's 'unwavering leadership' after a controversial dustup with Ukrainian President Volodymyr Zelenskyy.,https://www.foxnews.com/politics/tulsi-gabbard-thanks-trump-unwavering-leadership-oval-office-clash-zelenskyy
2025-02-17,"Zelenskyy not yet signing US economic agreement 'short-sighted,' White House official says",Diplomatic Engagements,A White House national security official said Ukrainian President Volodymyr Zelenskyy 'is being short-sighted' in not signing a rare earth minerals deal.,https://www.foxnews.com/world/zelenskyy-not-yet-signing-us-economic-agreement-short-sighted-white-house-official-says
2025-08-17,"European leaders will join Trump-Zelenskyy meeting, signaling solidarity with Ukraine",Diplomatic Engagements,European leaders including France's Macron and UK's Starmer join Zelenskyy for crucial Washington meeting with Trump.,https://www.foxnews.com/politics/european-leaders-join-trump-zelensky-meeting-signaling-solidarity-ukraine
2025-02-18,"Zelenskyy faces perilous re-election odds as US, Russia push Ukraine to go to the polls",Domestic Governance,U.S. and Russia push Ukraine to hold elections as Zelenskyy's term is past expiration.,https://www.foxnews.com/politics/zelenskyy-faces-perilous-reelection-odds-us-russia-push-ukraine-go-polls-part-peace-deal
5 days ago,Top Ukrainian officials in Zelenskyy government submit resignations amid $100 million corruption scandal,Domestic Governance,Anti-corruption agencies expose alleged kickback scheme in Energoatom.,https://www.foxnews.com/world/top-ukrainian-officials-zelenskyy-government-submit-resignations-amid-100-million-corruption-scandal
2025-02-03,Zelenskyy warns peace talks without Ukraine 'dangerous' after Trump claims meetings with Russia 'going well',Diplomatic Engagements,Zelenskyy warns Trump-led talks with Russia without Ukraine would be 'dangerous.',https://www.foxnews.com/world/zelenskyy-warns-peace-talks-without-ukraine-dangerous-after-trump-claims-meetings-russia-going-well
2025-07-06,Zelenskyy touts 'fruitful' Trump call after US president disappointed by Putin talk,Diplomatic Engagements,Zelenskyy and Trump held a strategic call about air defense and Patriot missiles.,https://www.foxnews.com/world/zelenskyy-touts-fruitful-trump-call-after-us-president-disappointed-putin-talk
2025-08-17,Ukrainian designer predicts Zelenskyy will wear military suit for high-stakes Trump meeting,Media Representation,Designer says Zelenskyy will likely choose military-style clothing for DC meeting.,https://www.foxnews.com/world/ukrainian-designer-predicts-zelenskyy-wear-military-suit-high-stakes-trump-meeting
2025-08-18,Trump moves to broker Putin-Zelenskyy meeting following DC peace talks,Diplomatic Engagements,Trump announces plans for trilateral meeting.,https://www.foxnews.com/politics/trump-arranges-putin-zelenskyy-meeting-after-calling-russian-president-amid-ukraine-talks-from-white-house
2024-09-23,Zelenskyy warns Vance__ plan to give Russia seized land will lead to __lobal showdown_,Russia-Related Rhetoric,Zelenskyy says Vance's proposal would trigger global war.,https://www.foxnews.com/world/zelenskyy-warns-vances-plan-ukrainian-lands-seized-russia-result-global-showdown
2025-03-01,Zelenskyy meets with British Prime Minister Keir Starmer in London following Trump Oval Office clash,Diplomatic Engagements,Zelenskyy welcomed by UK's PM after White House clash.,https://www.foxnews.com/world/zelenskyy-meets-british-prime-minister-keir-starmer-london-following-trump-oval-office-clash
2025-03-04,"Zelenskyy says Ukraine 'ready' for peace negotiations, calls Trump meeting 'regrettable'",Diplomatic Engagements,Zelenskyy calls recent Trump meeting 'regrettable.',https://www.foxnews.com/politics/zelenskyy-says-ukraine-ready-peace-negotiations-calls-trump-meeting-regrettable
2025-09-16,Trump and Zelenskyy to meet as Poland pressures NATO on no fly zone over Ukraine,Diplomatic Engagements,Possible Zelenskyy__rump meeting during UN summit.,https://www.foxnews.com/world/trump-zelenskyy-meet-poland-pressures-nato-no-fly-zone-over-ukraine
2025-08-19,"Trump reflects on Ukraine peace talks, working toward Putin-Zelenskyy meeting",Diplomatic Engagements,Trump discusses efforts to arrange peace meeting.,https://www.foxnews.com/video/6377075188112
2025-02-25,Trump says minerals deal has been 'pretty much' negotiated with Zelenskyy,Diplomatic Engagements,Zelenskyy agrees to terms of minerals deal allowing US access.,https://www.foxnews.com/world/trump-says-minerals-deal-has-been-pretty-much-negotiated-zelenskyy-meeting-slated-friday
2025-02-28,"Where Zelenskyy is headed following tense White House exchange with Trump, Vance",Media Representation,Zelenskyy left White House after tense exchange.,https://www.foxnews.com/politics/where-zelenskyy-headed-following-tense-white-house-exchange-trump-vance
2025-09-25,"Zelenskyy 'ready' to exit office if war ends, open to elections in ceasefire",Domestic Governance,Zelenskyy says peace is priority over second term.,https://www.foxnews.com/world/zelensky-ready-leave-office-when-ukraine-war-ends
2025-09-23,Trump and Zelenskyy signal stronger ties after UN meeting,Diplomatic Engagements,Zelenskyy: relationship with Trump is 'better than before.',https://www.foxnews.com/politics/trump-zelenskyy-signal-stronger-ties-after-un-meeting-better-relations-than-before
2025-07-17,Ukraine's Zelenskyy names new prime minister,Domestic Governance,Zelenskyy appoints new PM amid ongoing war.,https://www.foxnews.com/world/ukraines-zelenskyy-names-new-prime-minister-first-time-since-russias-war-began
2025-03-27,Zelenskyy sensationally predicts Putin 'will die soon',Russia-Related Rhetoric,Zelenskyy claims Putin__ health is collapsing.,https://www.foxnews.com/world/zelenskyy-sensationally-predicts-putin-will-die-soon
2025-02-27,Why Zelenskyy keeps pushing for Ukraine NATO membership,Diplomatic Engagements,Zelenskyy insists NATO path still crucial.,https://www.foxnews.com/politics/why-zelenskyy-keeps-pushing-ukraine-nato-membership-even-though-trump-says-its-not-happening
2025-08-19,Russia launches largest attack on Ukraine this month following Trump's meetings with Zelenskyy,Military Operations,Russia strikes Ukraine during Zelenskyy__rump meetings.,https://www.foxnews.com/world/russia-launches-largest-attack-ukraine-month-following-trumps-meetings-putin-zelenskyy
2025-02-28,Here's the real reason Trump and Zelenskyy's deal blew up in the Oval Office,Media Representation,Trump__elenskyy meeting exploded over lack of security guarantees.,https://www.foxnews.com/world/heres-real-reason-trump-zelenskyys-deal-blew-up-oval-office
2025-02-28,Zelenskyy breaks silence on social media after fiery Oval Office exchange,Media Representation,Zelenskyy thanks America after tense White House clash.,https://www.foxnews.com/politics/zelenskyy-breaks-silence-social-media-after-fiery-oval-office-exchange-trump-thank-you-america
2025-02-19,Trump calls Ukraine's Zelenskyy a 'dictator without elections',Media Representation,Trump slams Zelenskyy after Saudi peace talks.,https://www.foxnews.com/politics/trump-calls-ukraines-zelenskyy-dictator-without-elections-rift-widens
2025-08-17,'Our position is clear:' Zelenskyy and EU dismiss ceding Ukrainian land to Russia,Russia-Related Rhetoric,Zelenskyy says Ukraine's constitution forbids territorial surrender.,https://www.foxnews.com/politics/our-position-clear-zelenskyy-eu-dismiss-ceding-ukrainian-land-russia
2025-08-18,Russian drone strikes kill 7 in Kharkiv during Zelenskyy's White House meeting with Trump,Military Operations,Deadly drone attacks strike Kharkiv during Zelenskyy's DC visit.,https://www.foxnews.com/politics/russian-drone-strikes-kharkiv-during-zelenskyys-white-house-meeting-trump
2022-05-06,Ukrainian President Zelenskyy to join virtual G7 summit,Diplomatic Engagements,Zelenskyy set to join Biden and G7 leaders for virtual summit.,https://www.foxnews.com/politics/zelenskyy-join-virtual-g7-summit
4 days ago,Trump administration stays silent as massive Ukraine corruption scandal rocks Zelenskyy's inner circle,Domestic Governance,$100 million corruption scandal hits Zelenskyy administration.,https://www.foxnews.com/politics/trump-administration-stays-silent-massive-ukraine-corruption-scandal-rocks-zelenskys-inner-circle
